// Receiver First

// opt
opt, nocache, R, 4,   71ms
opt, nocache, R, 64,  72ms
opt, nocache, R, 256, 86ms

opt, dcache,  R, 4,   70ms
opt, dcache,  R, 64,  72ms
opt, dcache,  R, 256, 85ms


opt, icache,  R, 4,   44ms
opt, icache,  R, 64,  46ms
opt, icache,  R, 256, 62ms


opt, bcache,  R, 4,   41ms
opt, bcache,  R, 64,  44ms
opt, bcache,  R, 256, 60ms


// noopt
noopt, nocache, R, 4,  692ms
noopt, nocache, R, 64, 880ms
noopt, nocache, R, 256,1507ms

noopt, dcache,  R, 4,  698ms
noopt, dcache,  R, 64, 936ms
noopt, dcache,  R, 256,1498ms


noopt, icache,  R, 4,   742ms
noopt, icache,  R, 64,  876ms
noopt, icache,  R, 256, 1498ms


noopt, bcache,  R, 4,   670ms
noopt, bcache,  R, 64,  866ms
noopt, bcache,  R, 256, 1613ms


// Sender First
// opt
opt, nocache, R, 4,   72ms
opt, nocache, R, 64,  73ms
opt, nocache, R, 256, 85ms

opt, dcache,  R, 4,   69ms
opt, dcache,  R, 64,  71ms
opt, dcache,  R, 256, 84ms


opt, icache,  R, 4,   45ms
opt, icache,  R, 64,  47ms
opt, icache,  R, 256, 63ms


opt, bcache,  R, 4,   42ms
opt, bcache,  R, 64,  42ms
opt, bcache,  R, 256, 58ms


// noopt
noopt, nocache, R, 4,  688ms
noopt, nocache, R, 64, 883ms
noopt, nocache, R, 256,1487ms

noopt, dcache,  R, 4,  698ms
noopt, dcache,  R, 64, 932ms
noopt, dcache,  R, 256,1488ms


noopt, icache,  R, 4,   744ms
noopt, icache,  R, 64,  874ms
noopt, icache,  R, 256, 1489ms


noopt, bcache,  R, 4,   672ms
noopt, bcache,  R, 64,  857ms
noopt, bcache,  R, 256, 1610ms
